Title,URL,Author and Date
Easy French Step-by-Step,/French-Step-Step-Myrna-Rochester/dp/0071453873/ref=sr_1_1?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-1,"by Myrna Bell Rochester  | Dec 1, 2008"
Fluent in French: The most complete study guide to learn French,/Fluent-French-complete-study-guide/dp/1515000141/ref=sr_1_2?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-2,"by Frederic Bibard | Jul 9, 2015"
"The Penguin French Phrasebook: Fourth Edition (Phrase Book, Penguin)",/Penguin-French-Phrasebook-Fourth-Phrase/dp/014103906X/ref=sr_1_3?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-3,"by Jill Norman, Henri Orteu, et al. | Aug 14, 2013"
French Phrasebook: +1400 French Phrases to travel in France with confidence!,/French-Phrasebook-Phrases-confidence-English/dp/1508777284/ref=sr_1_4?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-4,"by Frederic Bibard | Mar 5, 2015"
French Short Stories for Beginners: 20 Captivating Short Stories to Learn French & Grow Your Vocabulary the Fun Way! (Easy French Stories) (French Edition),/French-Short-Stories-Beginners-Captivating/dp/1721566988/ref=sr_1_5?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-5,"by Lingo Mastery  | Jun 19, 2018"
Ultimate French Beginner-Intermediate (Coursebook) (Ultimate Beginner-Intermediate),/Ultimate-French-Beginner-Intermediate-Coursebook/dp/1400009634/ref=sr_1_6?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-6,"by Living Language | Jul 28, 2009"
French Grammar (Quickstudy: Academic),/French-Grammar-Quickstudy-Inc-BarCharts/dp/1572225289/ref=sr_1_7?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-7,"by Inc. BarCharts  | Mar 1, 2001"
"French All-in-One For Dummies, with CD",/French-All-One-Dummies-CD/dp/1118228154/ref=sr_1_8?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-8,"by Consumer Dummies | Oct 9, 2012"
French Short Stories for Beginners: 20 Captivating Short Stories to Learn French & Grow Your Vocabulary the Fun Way! (Easy French Stories),/French-Short-Stories-Beginners-Captivating/dp/1096495228/ref=sr_1_9?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-9,"by Lingo Mastery  | May 1, 2019"
"Comparative Grammar of Spanish, Portuguese, Italian and French: Learn & Compare 4 Languages Simultaneously",/Comparative-Grammar-Spanish-Portuguese-Italian/dp/198333426X/ref=sr_1_10?keywords=Learn+french+book&qid=1564577474&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-10,"by Mikhail Petrunin  | Jul 2, 2018"
